"id","screenName","text"
"705481752341385216","FakeUnicode","@JennyBryan Alt w/ happy ending (1/2)
Ì†ºÌº≥-Ì†ΩÌ∞í
Ì†ΩÌ∞í+Ì†ºÌΩå+‚åõ
Ì†ΩÌ∞í‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌΩé
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌø†
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥ßÌ†ΩÌ¥®
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌΩîÌ†ºÌΩïÌ†ºÌΩ∑Ì†ºÌΩ∫
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥≠Ì†ΩÌ¥¨
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ∫Ä
Ì†ΩÌ∫Ä‚ÜíÌ†ºÌºå
Ì†ΩÌ±Ω+Ì†ΩÌ¥≠‚ÜíÌ†ΩÌ∫Ä
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ∫Ä
Ì†ΩÌ±®Ì†ΩÌ±©Ì†ΩÌ≤¨‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±Ω??
Ì†ΩÌ±ΩÌ†ΩÌ≤≠‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±®Ì†ΩÌ±©??
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥´‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ≤Ä
Ì†ΩÌ±ΩÌ†ΩÌ±ΩÌ†ΩÌ±Ω‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©"
"705475123231461376","AvrahamAdler","@JennyBryan @FakeUnicode Ì†ΩÌ±ø"
"705468741102874625","FakeUnicode","@JennyBryan @AvrahamAdler
Ì†ºÌº≥-Ì†ΩÌ∞í
Ì†ΩÌ∞í+Ì†ºÌΩå+‚åõ
Ì†ΩÌ∞í‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌΩé
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌø†
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥ßÌ†ΩÌ¥®
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ºÌΩîÌ†ºÌΩïÌ†ºÌΩ∑Ì†ºÌΩ∫
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥≠Ì†ΩÌ¥¨
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ∫Ä
Ì†ΩÌ∫Ä‚ÜíÌ†ºÌºå
Ì†ΩÌ±Ω+Ì†ΩÌ¥≠‚ÜíÌ†ΩÌ∫Ä
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ∫Ä
Ì†ΩÌ±®Ì†ΩÌ±©Ì†ΩÌ≤¨‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±Ω??
Ì†ΩÌ±ΩÌ†ΩÌ≤≠‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±®Ì†ΩÌ±©??
Ì†ΩÌ±®Ì†ΩÌ±©+Ì†ΩÌ¥´‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ≤Ä

Ì†ΩÌ±ΩÌ†ΩÌ±ΩÌ†ΩÌ±Ω‚ÜíÌ†ΩÌ≤£‚ÜíÌ†ºÌºé‚ÜíÌ†ΩÌ¥•"
"705468720789913600","AvrahamAdler","@JennyBryan @FakeUnicode Ì†ΩÌµµÌ†ΩÌ≤ÄÌ†ΩÌ∑øÌ†æÌ¥ñ"
"705466473599279104","FakeUnicode","@AvrahamAdler @JennyBryan ‚ñà‚ñàÕ•‚ñà·∑´‚ñà‚ñàÕß‚ñà‚ñàÕ®‚ñàÕ£‚ñà·∑†‚ñà‚ñàÕ¨‚ñàÕ§‚ñàÕ£‚ñàÕ©‚ñà‚ñàÕ≠‚ñàÕ™‚ñàÕ•‚ñà·∑§‚ñà‚ñàÕß‚ñà‚ñàÕ©‚ñàÕ¶‚ñà·∑†‚ñà‚ñàÕ≠‚ñà‚ñàÕ™‚ñàÕ£‚ñàÕÆ‚ñàÕ§‚ñà‚ñà·∑ö‚ñàÕ¶‚ñàÕ¶‚ñàÕ©‚ñà‚ñàÕß‚ñà·∑†‚ñàÕ•‚ñàÕ®‚ñàÕ¶‚ñàÕ©‚ñàÕ§‚ñà‚ñà·∑§‚ñàÕß‚ñà·∑Æ‚ñà·∑Æ"
"705465914787917824","AvrahamAdler","@FakeUnicode @JennyBryan ‚ñà"
"705464557880279040","FakeUnicode","https://t.co/wKxzbk1j1c ""And when you gaze long into an abyss, you start to wish for an abyss emoji."" https://t.co/1kk2VqAW5W [@JennyBryan]"
"705450110805618690","groundwalkergmb","@JennyBryan Everything has a cost, ;-)"
"705443009480007680","AmeliaMN","@Jacob_Konikoff you should probably follow @hspter @jtleek @rdpeng @hadleywickham @JennyBryan @_inundata @NSSDeviations @simplystats"
"705419944129744898","askdrstats","read why @JennyBryan says ""Now I have no shame"": viz and wrangling https://t.co/lgcPiKTtmV #rstats #DataScience #statistics @hadleywickham"
"705392289468817408","spsaaibi","@JennyBryan @CSVConference awesome!"
"705273173726601217","stefanbache","@_inundata @kennethrose82 @JennyBryan We should see what we can come up with!"
"705177999226703872","_inundata","@stefanbache @kennethrose82 @JennyBryan If you don‚Äôt make it, I would love to fly through DK to hang with you guys."
"705117335401549824","adaptive_plant","@JennyBryan In addition to ""grab"" osx has shortcuts (cmd shft 3,4) to take screenshots that save as png by default https://t.co/yxQ2jPZsWx"
"705097060865847296","emhrt_","@JennyBryan @sckottie I can't believe Scott didn't demand a cat be put there."
"705094542811275264","sckottie","put an image into a google sheet from #rstats by @JennyBryan https://t.co/ytwlcGTwxc"
"705076932346417152","groundwalkergmb",".@JennyBryan talking on @ropensci community call about interfacing w/ google spreadsheets w/ #rstats, starting now! https://t.co/pD3Kn4ugAw"
"705057832664637440","CalvsBigFood","@sherrirose @JennyBryan this is a result of our chancellor @nickdirks hiring people who have a total disregard for public health."
"705049755777241088","rOpenSci","Our community call starts at 9 am PST (in &lt; 2 hrs) https://t.co/o1MryUc4bT @JennyBryan discussing google sheets in #rstats"
"705023144990482433","stefanbache","@kennethrose82 tempting... Would be nice to spend time with @_inundata and @JennyBryan and co..."
"704911804175138816","stefanbache","@_inundata @CSVConference @JennyBryan @sarahtgold @thefreemanlab uhh, so close to dk..."
"704904990649880577","polesasunder","@JennyBryan Oh, that's awesome! however it is not mine, asking student right now @bhive01 @rgfitzjohn"
"704871418975006721","pgt_kt","@jennybryan from @kwbroman tutorials: https://t.co/UvOLMWQmYY  Make + a cron script to run it periodically?"
"704862701542088704","earino","@AmeliaMN @daisieclickie @sjackman @JennyBryan @usesthis I would love a crowd-sourced keyboard shortcuts leaderboard"
"704861022524313601","earino","@JennyBryan https://t.co/MioAly4BX4 i think this and a shell script?"
"704859730682970112","sherrirose","@ledell @JennyBryan There are also no plans to eliminate *any* of the dozens of sports teams. https://t.co/pk4812zE56"
"704858722485587969","AmeliaMN","@JennyBryan Starts around 4:30 on packages and then 5:45 for functions."
"704856512817008640","ledell","@sherrirose @JennyBryan UCB took on $445 million in debt to build the new stadium -- at the cost of academics. Shame https://t.co/D7ncsC3uqQ"
"704846655800152064","sherrirose","@ledell @JennyBryan Huge structural deficit at Berkeley. Will be potentially dissolving entire Colleges &amp; Schools https://t.co/FNWnvLRBDU"
"704844412610719745","ledell","@sherrirose @JennyBryan  This is really disappointing news. Why would they cut a top ranked major w/ strong social benefits? @UCBerkeleySPH"
"704838150233989120","noamross","@JennyBryan @UCBerkeley Also: talented instructors: https://t.co/fiOOPeWxRm"
"704834701031251968","ericmjl","@JennyBryan Automator, perhaps?"
"704831624375050240","sherrirose","@JennyBryan In particular, this from the letter was especially ominous about future of @UCBerkeleySPH as a school https://t.co/Ad95LhbQuk"
"704831117766107136","sherrirose","@JennyBryan hoping upcoming huge cuts don't gut Berkeley's ability to focus on public health applications :-( https://t.co/qZGL7OxnIO"
"704818137456353281","tjmahr","@JennyBryan would also add: Avoid setting a working directory; make an Rstudio project and work within it."
"704817083226324992","usesthis","@AmeliaMN @daisieclickie @sjackman @JennyBryan: Ì†ΩÌ∏ç"
"704817020496314368","jaimedash","@JennyBryan @gvwilson gotcha. wanted to double that check it wasn't something even worse!"
"704816013574074370","gjhansen","@JennyBryan: 'An Incomplete List of #rstats troubleshooting tips ' https://t.co/qNZtYiHivv, see more https://t.co/Fk3JrUQ3vb"
"704816012361867266","sfrechette","Top story: #rstats @JennyBryan: 'An Incomplete List of #rstats troubleshooting ‚Ä¶ https://t.co/8LpiYIbaSR, see more https://t.co/wHGxkjjAmH"
"704815992904544256","elpidiofilho","Top story: @JennyBryan: 'An Incomplete List of #rstats troubleshooting tips ' https://t.co/bjVY4BuZZ2, see more https://t.co/wLK8lqoKs4"
"704815949845819394","tjmahr","@JennyBryan this is great. I hit ctrl shift f10 and rerun all code whenever it looks like I've gotten things ""working"""
"704813442348093442","jaimedash","@JennyBryan @gvwilson gah they sound bad. is this something more than factors created by stringsAsFactors-
=TRUE? Google fails me..."
"704813002005028866","eric_normandeau","@AmeliaMN @sjackman @JennyBryan I don't know. I made it up ;)"
"704811988078215168","PatSchloss","@shfo @JennyBryan @rstudio thanks - that did it!"
"704811393074249728","pasqui_dente","@JennyBryan class()"
"704809712139821056","tpoi","@JennyBryan @RallidaeRule And ""look on Stack Overflow""."
"704809523786022912","RallidaeRule","@tpoi @JennyBryan I'm improving it!"
"704809500314898437","tpoi","@RallidaeRule @JennyBryan (other than of psychological and emotional nature, of course)"
"704809440537477120","tpoi","@RallidaeRule @JennyBryan I'm not sure you're allowed to do that either. Academia usually doesn't take kindly to wanton destruction."
"704809290364805120","tpoi","@JennyBryan @RallidaeRule But in all seriousness: try with Rscript. It's the best way to make sure that the script runs with no artifacts."
"704809255942037505","RallidaeRule","@tpoi @JennyBryan I'm not sure I'm allowed to do that

but maybe in the wall of the classroom?"
"704809092016164865","tpoi","@JennyBryan @RallidaeRule CARVE THEM IN YOUR STUDENTS!"
"704808779997548545","henrikbengtsson","@JennyBryan ""help the helper help you"""
"704807505935921153","JHunterUnited","@JennyBryan @gvwilson reminds one of the always classic 'StringsAsFactors = HellNo'"
"704805308909146112","Chr_Koenig","@JennyBryan ""add more backslashes"" ... just great! xD"
"704804767533387776","groundwalkergmb","@bhive01 @JennyBryan for completeness, R doesn't eat a ""\"" per se,  it translates ""\\"" to ""\"" so ""\\t"" goes to ""\t"" and ""\\\\"" goes to ""\\"""
"704803646626594817","groundwalkergmb","@bhive01 @JennyBryan Yeah, what happens is R consumes an escape b4 passing string down 2 regex c lib, so eg u need ""\\t"" instead of ""\t"""
"704803000049512449","bhive01","@groundwalkergmb @JennyBryan what's it in reference to? Regex?"
"704800230064201728","tomhouslay",".@JennyBryan @rstudio this reminds me how thankful I am for the server version, so we can have our asreml-r licence just kept on there‚Ä¶!"
"704799810105286656","AndreaCirilloAC","@michaelhoffman @rdpeng @hspter @JennyBryan and 45 minutes in one of the shortest...Ì†ΩÌ∏Ä"
"704798770895032321","groundwalkergmb","@JennyBryan It took me a while to understand the backslashes one."
"704797048709718016","PatSchloss","@JennyBryan @rstudio I'm trying to engage the preferences-&gt;git/svn dialogue"
"704796653841162240","marvin_dpr","@pssGuy @JennyBryan 
definitely backslashes and stealth factors on rank 1 and 2"
"704796637076410369","_inundata","Also, very excited to announce the keynote speakers for @csvconference

@JennyBryan, @sarahtgold, and @thefreemanlab! 

Join us in Berlin!"
"704795290704990212","marc_noguera","@PatSchloss @RStudio @JennyBryan RStudio-&gt;Preferences--&gt; default Working dir to ""/"""
"704792060277223426","jalapic","@JennyBryan add another pair of square brackets..."
"704792033672560640","helsouth","@JennyBryan  also - use with() instead of attach()"
"704791958078812160","_ms03","@JennyBryan how about: make sure that you don't index with a factor?"
"704791640771268609","AmeliaMN","@eric_normandeau @sjackman @JennyBryan ‚Äúslalom‚Äù is the technical term here?"
"704791544054722564","zenrhino","@JennyBryan In my R training package I listed ""Shared suffering with other R users"" as a reason to use R. 

Seems pretty legit."
"704790559458795529","eric_normandeau","@sjackman @JennyBryan @AmeliaMN Wait, there isn't a gesture for this? Let's use the upward four finger slalom :)"
"704790392651321345","AmeliaMN","@AmeliaMN @daisieclickie @sjackman @JennyBryan @usesthis Or variant on @amandacox‚Äôs commonly used R commands: https://t.co/y0mIWWwOpI"
"704790380328259584","daisieclickie","@AmeliaMN @sjackman @JennyBryan It's a really old-school Mac OS shortcut that my fingers learned in the 90s and never forgot."
"704790128133324800","AmeliaMN","@daisieclickie @sjackman @JennyBryan Maybe the world needs a @usesthis for commonly used key commands."
"704790089549746176","daisieclickie","@AmeliaMN @sjackman @JennyBryan I don't even know what the whole-screen shortcut is, as I never use that."
"704789956074471424","ecpolley","@jennybryan * Check for converted variable names from check.names = TRUE"
"704789900915126272","daisieclickie","@AmeliaMN @sjackman @JennyBryan Cmd-shift-4 lets you select the area, cmd-shift-4-space lets you choose the window."
"704789390548037632","daisieclickie","@AmeliaMN @sjackman @JennyBryan There's a variant shortcut for every possible kind of screenshot you could want. I just mash keys."
"704789353944506368","eric_normandeau","@JennyBryan @sjackman nothing about traceback() ?"
"704789318775083008","bhive01","@sjackman @JennyBryan @AmeliaMN Did not realize this existed... been using grab and preview to convert. Thanks for sharing!"
"704789253801152512","jaimedash","@michaelhoffman @radaniba @JennyBryan oops TIL that's only in *nix"
"704789113870925824","AmeliaMN","@daisieclickie @sjackman @JennyBryan I guess I knew there was a key command for screenshot, but I thought it just took the whole screen..."
"704788721384554496","daisieclickie","@sjackman @JennyBryan @AmeliaMN This. I don't even think I realized people used Grab instead of doing this."
"704788577574473728","daisieclickie","@JennyBryan https://t.co/hyvzLSGwfN"
"704788357046374402","DrDanHolmes",".@JennyBryan yikes! You should hear the enthusiasm in medicine. It's the new #alchemy."
"704787981949775872","shfo","@PatSchloss @JennyBryan Don't know about @RStudio, but ‚åò‚áßg (command-shift-g) in the file picker window works in most other Mac apps"
"704787967651360769","daisieclickie","@JennyBryan You can change the screenshot to save as PNG. I'm looking up how I did that."
"704787631016534016","pssGuy","@JennyBryan * contact @JennyBryan"
"704786799042895872","HollyKindsvater","#rstats: Everyone who has dealt with ""stealth"" factors nodding along, everyone else is what's stealth factors, precious?  @JennyBryan"
"704786438236344320","PatSchloss","anyone know how to navigate to /usr/bin/ in @RStudio to show it where git is located in os x? /usr is hidden from users cc: @JennyBryan"
"704785749376258049","cashoes_","@JennyBryan @MangoTheCat @DataScienceCtrl on the bright side, odds are it's actually small data someone ran on Hadoop just because..."
"704784872364228608","thomasp85","@JennyBryan Just throwing one in. Add drop = FALSE to all matrix and data.frame indexing. This is right up there with stringsAsFactors = F"
"704784811999825921","Gaming_Dude","@JennyBryan as.numeric(as.character(f))"
"704784680726319105","scottistical","@JennyBryan @hadleywickham 1. Curse 2. Blame package 3. Sigh discontentedly 4. Find bug 5. Mins later forget what you did to correct bug..."
"704784299929706496","RallidaeRule","@JennyBryan can I share this with my students?

I want to make them do the first four before emailing me with problems"
"704784225799634945","HelicityBoson","@JennyBryan @hadleywickham stealth factors are so infuriating. Like... AAAARGH"
"704783992755769344","BrownJosephW",".@jennybryan @ethanwhite Add:
* tweet to #rstats"
"704782595159011328","optimlog_","@JennyBryan package conflicts: dplyr plyr MASS"
"704782177624395776","sjackman",".@JennyBryan @AmeliaMN Use Shift-‚åò4 then Spacebar instead of Grab. Screenshots are saved as PNG on your desktop. See https://t.co/f1SkcGBNor"
"704781813512695808","zenrhino","@JennyBryan Mine:
Rule #1: Read the instructions.
Rule #2: Follow the instructions.
Rule #3: It's always the spelling that gets you."
"704781581592821760","iddux","@gvwilson @JennyBryan https://t.co/i5NO0CTj7r"
"704780696745746432","bhive01","@AmeliaMN @JennyBryan If so, and there's a good solution, I am shamelessly borrowing the solution. No idea why grab is so limiting."
"704780561085104128","joncgoodwin","@JennyBryan ""actually read the error message"" is kind of asking a lot."
"704780532865855488","davidascher","@JennyBryan yeah, so i'd say a file watcher (pick your language) spawning convert on new-file or file-change events."
"704780443095339008","biocs","@JennyBryan using a command-line interface maid (https://t.co/uxB9Ef2FBw) plus ImageMagick should work (and it‚Äôs free, in contrast to Hazel)"
"704780379320934400","mikelove","@JennyBryan ok I know you said incomplete but... ;-) if you've got anything in .Rprofile, try R --no-init-file"
"704780338548088832","AmeliaMN","@JennyBryan is this at all related to the fact that Grab only makes tiffs?"
"704780174001364997","gvwilson","@JennyBryan ""Stealth factors""? How come *my* programming language doesn't have those? Huh."
"705444762917199873","birderboone","Great advice. R's tendency to convert to factors can really mess with you, especially when ordering or converting. https://t.co/h60A4h2BRo"
"704790044570071040","eagereyes","‚ÄúAdd more backslashes‚Äù is the universal solution to every single problem in computing. https://t.co/iuzHiOSA7A"
"704996431346737152","jasdumas","reading is essential, also helpful to check if packages masked other packages functions (i.e. MASS &amp; dplyr::select) https://t.co/4pc3WO2QFD"
"704780518081077248","EamonCaddigan","""Read the help manual"" is conspicuously absent. (I reckon a less incomplete list MIGHT add ""look for vignettes"".) https://t.co/S36FJZPLN8"
"704788431466053632","pureblissofsun","str() always before you run models #rstats https://t.co/neTEddNXLx"
"704787612498857984","pasqui_dente","Nice Job! https://t.co/xoYnRxcd8X"
"704914687931056130","satheeshbhoj","Using this in my upcoming class #rstats https://t.co/bXMdLbAoU4"
"704798446297808896","dangerpeel","@EveryLilac  https://t.co/UKjKNGm12J"
"705032096838844417","ByerlyElizabeth","I would have started the list with `str()` https://t.co/ehskwqtZPf"
"704786762955137024","statsforbios","Yes. Would add class() to the list. #rstats https://t.co/fjiM5l4y2Z"
"704792804673744896","HappyRrobot","Whoa https://t.co/wHoQD2OzcY"
"705155473314586624","oMarceloVentura","""try it with the iris data""   XDDD https://t.co/j6K02xmqi4"
